profile,profile_slug,config_path,walkforward_report_path,visual_report_path,walkforward_avg_policy_final_equity,walkforward_avg_buy_and_hold_equity,order
base,base,/Users/vincentcoghlan/.copilot/session-state/c882d1cb-3e5a-4758-977c-98ae4b88c40a/files/matrix-pass/control-base.toml,/Users/vincentcoghlan/work/mekubbal/logs/profile_matrix_fast/symbols/nvda/reports/walkforward_base.csv,/Users/vincentcoghlan/work/mekubbal/logs/profile_matrix_fast/symbols/nvda/reports/profile_base.html,0.82573377871516,1.4995200502415897,1
candidate,candidate,/Users/vincentcoghlan/.copilot/session-state/c882d1cb-3e5a-4758-977c-98ae4b88c40a/files/matrix-pass/control-candidate.toml,/Users/vincentcoghlan/work/mekubbal/logs/profile_matrix_fast/symbols/nvda/reports/walkforward_candidate.csv,/Users/vincentcoghlan/work/mekubbal/logs/profile_matrix_fast/symbols/nvda/reports/profile_candidate.html,0.8229721206804985,1.4995200502415897,2
