rank,profile,symbols_covered,mean_equity_gap,median_equity_gap,std_equity_gap,mean_rank,median_rank,win_count,win_rate,significant_wins,significant_losses,net_significant_wins
1,base,3,-0.41830093537400687,-0.33832186910193784,0.2263535495612827,1.0,1.0,3,1.0,0,0,0
2,candidate,3,-0.4274087879641712,-0.34473640515278603,0.2197910559325878,2.0,2.0,0,0.0,0,0,0
